name	cuisines	rank	nreviews	address	phone	website	score	food	service	value
La Choripanería	Argentina, Latina, Comida rápida, Parrilla	#16 de 5.004 restaurantes en Buenos Aires	316 opiniones	Bolívar 954 Local 42, Mercado de San Telmo, Buenos Aires C1066AAT Argentina	+54 11 4244-9478		ui_bubble_rating bubble_45	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Javi's Parrilla Restaurant	Parrillada, Argentina, Parrilla	#29 de 5.004 restaurantes en Buenos Aires	157 opiniones	Chile 800 Esquina Piedras, Buenos Aires C1098AAP Argentina	+54 11 3402-7743	http://www.facebook.com/Javisrestaurantargentina/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45
La Cocina	Almuerzo, Cena	#30 de 5.004 restaurantes en Buenos Aires	259 opiniones	Avenida Pueyrredon 1508, Buenos Aires C1118AAS Argentina	48253171		ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
El Hornero	Argentina, Latina, Comida rápida	#37 de 5.004 restaurantes en Buenos Aires	99 opiniones	Calle Carlos Calvo 455 Mercado de San Telmo, local 88 y 89, Buenos Aires C1102AAI Argentina	+54 9 11 3923-5341	https://el-hornero-de-san-telmo.negocio.site/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
La Morada	Apto para vegetarianos	#62 de 5.004 restaurantes en Buenos Aires	241 opiniones	Hipolito Yrigoyen 778 between Piedras and Chacabuco, Buenos Aires Argentina	+54 11 6939-9055	http://www.lamorada.com.ar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
EL SANJUANINO	Apto para vegetarianos	#106 de 5.004 restaurantes en Buenos Aires	3.817 opiniones	Posadas 1515 Proximo a Av Santa Fe, Buenos Aires C1112ADA Argentina	+54 11 4804-2909	http://www.elsanjuanino.com.ar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Paris Burger	Almuerzo	#128 de 5.004 restaurantes en Buenos Aires	112 opiniones	Suipacha 180, Buenos Aires C1008 Argentina	+54 11 6531-5707	http://www.facebook.com/pages/PARIS-Burger-Pagina-Oficial/350541595113120	ui_bubble_rating bubble_45	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
El Mazacote	Apto para vegetarianos	#172 de 5.004 restaurantes en Buenos Aires	187 opiniones	Chile 1400 esq. San Jose, Buenos Aires Argentina	+54 11 4381-4649	http://www.lamejorpizzeria.com/pizzerias/el-mazacote	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Café Paulín	Apto para vegetarianos	#174 de 5.004 restaurantes en Buenos Aires	228 opiniones	Sarmiento 635, Centro, Microcentro, Buenos Aires Argentina	4325-2280	http://www.facebook.com/Caf%C3%A9-Paulin-52155433840	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
La Birra Bar	Argentina, Comida rápida, Bar, Pub	#236 de 5.004 restaurantes en Buenos Aires	192 opiniones	Avenida San Juan 4359 Boedo, Buenos Aires C1233ACA Argentina	+54 11 4925-3300	https://www.facebook.com/burgersposta/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
La Americana	Apto para vegetarianos	#245 de 5.004 restaurantes en Buenos Aires	1.283 opiniones	Av. Callao 83 Bartolome Mitre, Buenos Aires C1022AAA Argentina	4371-0202	http://www.pizzerialaamericana.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
El Imperio de la Pizza	Almuerzo, Cena, Abierto hasta tarde	#247 de 5.004 restaurantes en Buenos Aires	341 opiniones	Avenida Corrientes 6895 Corrientes-FedericoLacroze, Buenos Aires C1427BPG Argentina	+54 11 4553-0875		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Pedro Telmo	Almuerzo, Cena, Abierto hasta tarde	#280 de 5.004 restaurantes en Buenos Aires	153 opiniones	Calle Bolivar 962 San Telmo, Buenos Aires Argentina	43623694		ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
La Glorieta de Quique	Almuerzo	#296 de 5.004 restaurantes en Buenos Aires	101 opiniones	Brandsen 810, La Boca Ciudad Autónoma de Buenos Aires, Buenos Aires Argentina	+54 11 4301-6470	http://www.facebook.com/pages/La-Glorieta-de-Quique/163162093846525	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Cervantes II	Almuerzo, Cena, Abierto hasta tarde	#325 de 5.004 restaurantes en Buenos Aires	264 opiniones	Perón 1883 entre Callao y Riobamba, Buenos Aires Argentina	+54 11 4372-5227		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
