name	cuisines	rank	nreviews	address	phone	website	score	food	service	value	new_address	location	point
La Choripanería	Argentina, Latina, Comida rápida, Parrilla	#16 de 5.004 	316.0	Bolívar 954 Local 42, Mercado de San Telmo, Buenos Aires C1066AAT Argentina	+54 11 4244-9478		4.5	5.0	4.5	4.5	Bolívar 954, CABA, Argentina	954, Bolívar, San Telmo, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1066AAR, Argentina	(-34.61907229387755, -58.37290557755102, 0.0)
Javi's Parrilla Restaurant	Parrillada, Argentina, Parrilla	#29 de 5.004 	157.0	Chile 800 Esquina Piedras, Buenos Aires C1098AAP Argentina	+54 11 3402-7743	http://www.facebook.com/Javisrestaurantargentina/	4.5	4.5	5.0	4.5	Chile 800, CABA, Argentina	800, Chile, San Telmo, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1042AAB, Argentina	(-34.6163967, -58.3773191, 0.0)
La Cocina	Almuerzo, Cena	#30 de 5.004 	259.0	Avenida Pueyrredon 1508, Buenos Aires C1118AAS Argentina	48253171		4.5	4.5	4.5	4.0	Pueyrredon 1508, CABA, Argentina	General Juan Martín de Pueyrredón, Juan D’Arienzo, Barrio Albarellos, Villa Pueyrredón, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, 1419, Argentina	(-34.5804868, -58.5017023, 0.0)
El Hornero	Argentina, Latina, Comida rápida	#37 de 5.004 	99.0	Calle Carlos Calvo 455 Mercado de San Telmo, local 88 y 89, Buenos Aires C1102AAI Argentina	+54 9 11 3923-5341	https://el-hornero-de-san-telmo.negocio.site/	4.5	4.5	4.5	4.5	Carlos Calvo 455, CABA, Argentina	Merci, 455, Carlos Calvo, San Telmo, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1065AAR, Argentina	(-34.619495, -58.3724483, 0.0)
La Morada	Apto para vegetarianos	#62 de 5.004 	241.0	Hipolito Yrigoyen 778 between Piedras and Chacabuco, Buenos Aires Argentina	+54 11 6939-9055	http://www.lamorada.com.ar/	4.5	4.5	4.0	4.5	Hipolito Yrigoyen 778, CABA, Argentina	La Morada, 778, Hipólito Yrigoyen, Monserrat, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1069AAB, Argentina	(-34.609439, -58.3769718, 0.0)
EL SANJUANINO	Apto para vegetarianos	#106 de 5.004 	3.817	Posadas 1515 Proximo a Av Santa Fe, Buenos Aires C1112ADA Argentina	+54 11 4804-2909	http://www.elsanjuanino.com.ar/	4.5	4.5	4.0	4.5	Posadas 1515, CABA, Argentina	El Sanjuanino, 1515, Posadas, La Isla, Recoleta, Buenos Aires, Comuna 2, Ciudad Autónoma de Buenos Aires, C1011ABF, Argentina	(-34.5872658, -58.3873858, 0.0)
Paris Burger	Almuerzo	#128 de 5.004 	112.0	Suipacha 180, Buenos Aires C1008 Argentina	+54 11 6531-5707	http://www.facebook.com/pages/PARIS-Burger-Pagina-Oficial/350541595113120	4.5	5.0	4.5	4.5	Suipacha 180, CABA, Argentina	Paris Burger, 180, Suipacha, Microcentro, San Nicolás, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1008AAD, Argentina	(-34.6062159, -58.3793736, 0.0)
El Mazacote	Apto para vegetarianos	#172 de 5.004 	187.0	Chile 1400 esq. San Jose, Buenos Aires Argentina	+54 11 4381-4649	http://www.lamejorpizzeria.com/pizzerias/el-mazacote	4.5	4.5	4.0	4.5	Chile 1400, CABA, Argentina	1400, Chile, Monserrat, Buenos Aires, Ciudad Autónoma de Buenos Aires, 1098, Argentina	(-34.616813, -58.385707, 0.0)
Café Paulín	Apto para vegetarianos	#174 de 5.004 	228.0	Sarmiento 635, Centro, Microcentro, Buenos Aires Argentina	4325-2280	http://www.facebook.com/Caf%C3%A9-Paulin-52155433840	4.0	4.5	4.0	4.0	Sarmiento 635, CABA, Argentina	Los Mejores Sandwiches, 635, Sarmiento, Microcentro, San Nicolás, Buenos Aires, Ciudad Autónoma de Buenos Aires, 1041, Argentina	(-34.6045276, -58.3755849, 0.0)
La Birra Bar	Argentina, Comida rápida, Bar, Pub	#236 de 5.004 	192.0	Avenida San Juan 4359 Boedo, Buenos Aires C1233ACA Argentina	+54 11 4925-3300	https://www.facebook.com/burgersposta/	4.5	4.5	4.0	4.0	San Juan 4359, CABA, Argentina	San Juan, Avenida San Juan, Constitución, Buenos Aires, Ciudad Autónoma de Buenos Aires, 1150, Argentina	(-34.622104, -58.379921, 0.0)
