Title	Price	Month_Year	Kms	Fuel	Transmission
FIAT 500C 1.2 Riva	€ 16.900	Dicembre 2016	40.000 km	Benzina - Euro 6	Manuale
"FIAT 500C CABRIO 1.2 ""S"" Bellissima!!! ADATTA X NEOPATENTATI"	€ 12.470	Settembre 2014	76.000 km	Benzina - Euro 6	Manuale
Fiat 500 La Prima Berlina	€ 27.900	Gennaio 2021	1.300 km	Elettrico - Euro 0	Manuale
FIAT 500 1.2 Lounge	€ 7.300	Aprile 2008	147.236 km	Benzina - Euro 4	Manuale
FIAT 500 1.0 Hybrid Connect PER NEOPATENTATI	€ 17.800	Aprile 2021	14.884 km	Ibrido - Euro 6	Manuale
Fiat 500 500 0.9 t.air t. Lounge 85cv E6 XENON PELLE AUTOM.	€ 13.800	Maggio 2015	60.000 km	Benzina - Euro 6	Automatico
Fiat 500C 1.2 Dualogic Lounge - PROMOFINANZIAMENTO	€ 18.800	Gennaio 2020	22.500 km	Benzina - Euro 6	Automatico
Fiat 500 C 1.3 Multijet 16v 95 Cv Lounge	€ 9.850	Agosto 2013	178.000 km	Diesel - Euro 5	Manuale
Fiat 500 1.2 Pop	€ 6.900	Maggio 2008	149.301 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 S s&amp;s 69cv dualogic my19	€ 16.500	Luglio 2019	42.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge OK NEOPATENTATI	€ 7.700	Aprile 2011	150.000 km	Benzina - Euro 4	Manuale
Fiat 500 1.2 Riva	€ 13.900	Aprile 2017	55.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 TETTO PANORAMA,CLIMA MANUALE,CERCHI LEGA	€ 7.500	Gennaio 2010	155.140 km	Benzina - Euro 5	Manuale
Fiat 500 1.2 Lounge	€ 11.200	Febbraio 2014	56.800 km	Benzina - Euro 6	Manuale
FIAT 500 500 1.2 EasyPower Lounge GPL NEOPATENTATI	€ 11.800	Dicembre 2016	95.000 km	GPL - Euro 6	Manuale
FIAT 500C 1.2 RIVA *CABRIO*UNIPROP*OK NEOPATENTATI*	€ 18.900	Aprile 2017	53.945 km	Benzina - Euro 6	Manuale
FIAT 500C 1.3 mjt Lounge 95cv	€ 17.500	Luglio 2018	64.040 km	Diesel - Euro 6	Manuale
FIAT 500 1.0 Hybrid Launch Edition	€ 17.900	Giugno 2020	38.700 km	Ibrido - Euro 6	Manuale
